"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd1.skyhook-4osds.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output dstat-osd1.log 5",,,,"Date:","25 Apr 2017 14:10:17 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.927,0.219,98.726,0.119,0.0,0.008,44562.351,47057571.082,0.0,0.0,0.0,0.0,8370.531,1498.032,0.0,0.0,2.576,3741990912.0,105623552.0,45007052800.0,1.19925526528e+11,0.0,0.0,44562.351,47057571.082,8370.531,1498.032,0.927,0.219,98.726,0.119,0.0,0.008,1493147417.191,
0.010,0.005,99.985,0.0,0.0,0.0,0.0,0.0,2984.0,12769.400,0.0,0.0,137.800,157.200,0.0,0.0,0.0,3756896256.0,105623552.0,45007523840.0,1.19910150144e+11,0.0,0.0,0.0,0.0,138.400,157.600,0.010,0.005,99.985,0.0,0.0,0.0,1493147422.192,
0.005,0.005,99.980,0.010,0.0,0.0,0.0,13926.400,2689.0,12318.600,0.0,0.0,149.0,162.800,0.0,0.0,0.200,3757195264.0,105639936.0,45007523840.0,1.19909834752e+11,0.0,0.0,0.0,13926.400,148.600,162.400,0.005,0.005,99.980,0.010,0.0,0.0,1493147427.192,
0.010,0.005,99.985,0.0,0.0,0.0,0.0,0.0,2636.0,12228.600,0.0,0.0,124.400,127.600,0.0,0.0,0.0,3768762368.0,105639936.0,45007523840.0,1.19898267648e+11,0.0,0.0,0.0,0.0,124.400,127.600,0.010,0.005,99.985,0.0,0.0,0.0,1493147432.192,
0.010,0.005,99.975,0.010,0.0,0.0,0.0,18022.400,3251.800,12460.800,0.0,0.0,150.800,148.600,0.0,0.0,0.200,3768492032.0,105648128.0,45007523840.0,1.19898529792e+11,0.0,0.0,0.0,18022.400,150.800,148.600,0.010,0.005,99.975,0.010,0.0,0.0,1493147437.192,
0.010,0.0,99.990,0.0,0.0,0.0,0.0,0.0,2562.800,12106.200,0.0,0.0,121.0,130.400,0.0,0.0,0.0,3782156288.0,105648128.0,45007523840.0,1.19884865536e+11,0.0,0.0,0.0,0.0,121.0,130.400,0.010,0.005,99.985,0.0,0.0,0.0,1493147442.192,
0.005,0.005,99.985,0.005,0.0,0.0,0.0,2457.600,3628.200,13289.200,0.0,0.0,173.0,190.400,0.0,0.0,0.0,3782021120.0,105656320.0,45007523840.0,1.19884992512e+11,0.0,0.0,0.0,2457.600,173.0,190.800,0.005,0.0,99.990,0.005,0.0,0.0,1493147447.192,
0.015,0.005,99.980,0.0,0.0,0.0,0.0,819.200,1734.0,12356.600,0.0,0.0,116.600,131.800,0.0,0.0,0.200,3795816448.0,105660416.0,45007532032.0,1.19871184896e+11,0.0,0.0,0.0,819.200,116.600,131.400,0.015,0.005,99.980,0.0,0.0,0.0,1493147452.192,
0.010,0.0,99.980,0.010,0.0,0.0,0.0,11468.800,3599.400,13418.0,0.0,0.0,158.800,165.600,0.0,0.0,0.0,3795402752.0,105672704.0,45007532032.0,1.19871586304e+11,0.0,0.0,0.0,11468.800,158.800,165.600,0.010,0.005,99.975,0.010,0.0,0.0,1493147457.192,
0.010,0.005,99.985,0.0,0.0,0.0,0.0,0.0,2632.0,12457.0,0.0,0.0,120.800,120.800,0.0,0.0,0.0,3807416320.0,105672704.0,45007532032.0,1.19859572736e+11,0.0,0.0,0.0,0.0,120.800,120.800,0.010,0.005,99.985,0.0,0.0,0.0,1493147462.192,
0.015,0.005,99.970,0.010,0.0,0.0,0.0,2457.600,2791.800,13057.600,0.0,0.0,147.200,155.800,0.0,0.0,0.0,3807281152.0,105680896.0,45007532032.0,1.19859699712e+11,0.0,0.0,0.0,2457.600,147.200,155.800,0.015,0.0,99.975,0.010,0.0,0.0,1493147467.192,
0.005,0.010,99.980,0.0,0.0,0.005,0.0,0.0,2364.400,12806.200,0.0,0.0,119.0,140.400,0.0,0.0,0.0,3818213376.0,105680896.0,45007532032.0,1.19848767488e+11,0.0,0.0,0.0,0.0,119.0,140.400,0.005,0.010,99.980,0.0,0.0,0.005,1493147472.192,
0.105,1.706,98.174,0.015,0.0,0.0,7372.800,18022.400,4126.0,14807.0,0.0,0.0,701.0,858.800,0.800,0.0,8.800,2710962176.0,1798144.0,2521518080.0,1.63545915392e+11,0.0,0.0,7372.800,18022.400,701.400,860.0,0.105,1.711,98.169,0.015,0.0,0.0,1493147477.192,
